ID;Source;Target;Type
963;9331469;1228956;Directed
964;9331469;6241782;Directed
965;9331469;1320400;Directed
966;9331469;1228956;Directed
967;9331469;9032409;Directed
968;9628517;7645228;Directed
969;9714922;1264028;Directed
970;9714922;6741253;Directed
971;9714922;1228956;Directed
972;9714922;5976088;Directed
973;9714922;5976088;Directed
974;9714922;1264028;Directed
975;9714922;2011484;Directed
976;9765391;5052005;Directed
977;9876007;1320400;Directed
978;9876007;9115403;Directed
979;9876007;9115403;Directed
980;9876007;1228956;Directed
981;9876007;2587958;Directed
982;9876007;7748415;Directed
983;9876007;1536755;Directed
984;9876007;3621393;Directed
985;9876007;6241782;Directed
986;9916186;5081628;Directed
987;9916186;4021440;Directed
988;9916186;3153880;Directed
989;9916186;1133807;Directed
990;9916186;9001358;Directed
991;9916186;6762725;Directed
992;9916186;9001358;Directed
993;9934967;2757704;Directed
994;9934967;1264028;Directed
995;9934967;4783774;Directed
996;9934967;4783774;Directed
