kerdes;Source;Target;Type;Weight
11;8945818;7485710;Directed;1.0
5;9001358;7963910;Directed;1.0
5;9001358;4021440;Directed;1.0
5;9001358;4495859;Directed;1.0
5;9014766;2011484;Directed;1.0
11;9014766;9864796;Directed;1.0
11;9014766;8322898;Directed;1.0
5;9014766;6741253;Directed;1.0
5;9032409;5932329;Directed;1.0
11;9032409;5976088;Directed;1.0
5;9035569;7037273;Directed;1.0
5;9035569;2979682;Directed;1.0
5;9035569;1326826;Directed;1.0
5;9091565;4265831;Directed;1.0
5;9103535;2979682;Directed;1.0
5;9115403;7963910;Directed;1.0
11;9115403;1133807;Directed;1.0
5;9115403;3621393;Directed;1.0
5;9115403;5932329;Directed;1.0
5;9120597;8406186;Directed;1.0
5;9281126;6241782;Directed;1.0
5;9281126;5932329;Directed;1.0
11;9281126;2800187;Directed;1.0
5;9281126;6741253;Directed;1.0
5;9281126;6180955;Directed;1.0
5;9281126;4021440;Directed;1.0
5;9281812;7499076;Directed;1.0
11;9281812;7485710;Directed;1.0
5;9281812;2091039;Directed;1.0
11;9281812;7963910;Directed;1.0
5;9281812;2317220;Directed;1.0
5;9281812;1264028;Directed;1.0
5;9331469;9032409;Directed;1.0
5;9331469;8763525;Directed;1.0
5;9331469;8461315;Directed;1.0
11;9331469;5976088;Directed;1.0
11;9331469;8322898;Directed;1.0
11;9714922;5976088;Directed;1.0
5;9714922;7963910;Directed;1.0
5;9765391;5052005;Directed;1.0
5;9876007;7963910;Directed;1.0
5;9876007;5932329;Directed;1.0
11;9916186;6536889;Directed;1.0
5;9916186;1536755;Directed;1.0
5;9916186;1270846;Directed;1.0
5;9934967;1264028;Directed;1.0
