kerdes	Source	Target	Type	Weight
2	8759516	6706993	Directed	1
2	8945818	5976088	Directed	1
8	8945818	3189492	Directed	1
8	8945818	7485710	Directed	1
2	9001358	9032409	Directed	1
8	9001358	5497184	Directed	1
2	9014766	1228956	Directed	1
2	9014766	6741253	Directed	1
8	9032409	1264028	Directed	1
2	9032409	5932329	Directed	1
2	9035569	1326826	Directed	1
2	9035569	2979682	Directed	1
2	9035569	5052005	Directed	1
2	9035569	4999224	Directed	1
2	9091565	9281126	Directed	1
2	9115403	7963910	Directed	1
8	9115403	2800187	Directed	1
2	9115403	5932329	Directed	1
2	9115403	1228956	Directed	1
2	9120597	5792138	Directed	1
2	9120597	4999224	Directed	1
2	9281126	7963910	Directed	1
2	9281126	6741253	Directed	1
8	9281126	5976088	Directed	1
2	9281126	5932329	Directed	1
2	9281126	4021440	Directed	1
2	9281126	1536755	Directed	1
2	9281812	4783774	Directed	1
2	9281812	7114350	Directed	1
8	9281812	6180955	Directed	1
8	9281812	7485710	Directed	1
2	9281812	2317220	Directed	1
2	9281812	1264028	Directed	1
8	9331469	5976088	Directed	1
2	9331469	9032409	Directed	1
2	9714922	6741253	Directed	1
8	9714922	5976088	Directed	1
2	9876007	1320400	Directed	1
2	9876007	9281126	Directed	1
2	9876007	5932329	Directed	1
2	9876007	9032409	Directed	1
2	9916186	4021440	Directed	1
8	9916186	4828453	Directed	1
8	9916186	3092327	Directed	1
2	9934967	1264028	Directed	1
8	9934967	6180955	Directed	1
8	9934967	9281126	Directed	1
2	9934967	2757704	Directed	1
2	9934967	4783774	Directed	1
